iter	MultiClass
0	1.855855917
1	1.781833904
2	1.718466803
3	1.663918726
4	1.615816539
5	1.573513585
6	1.535910572
7	1.502156931
8	1.471776751
9	1.444409075
10	1.419704692
11	1.397052292
12	1.376177595
13	1.357174676
14	1.339653973
15	1.323566983
16	1.308661178
17	1.294921766
18	1.282170064
19	1.270379536
20	1.259388681
21	1.249157913
22	1.239708655
23	1.230861572
24	1.222601764
25	1.214919008
26	1.207747943
27	1.20103082
28	1.19465312
29	1.188765252
30	1.183228117
31	1.178027034
32	1.173116326
33	1.168475873
34	1.16414461
35	1.160122319
36	1.156333089
37	1.15275071
38	1.149313519
39	1.14609797
40	1.143070022
41	1.140232178
42	1.137551811
43	1.135020981
44	1.132550293
45	1.130274601
46	1.12802338
47	1.125939749
48	1.123993584
49	1.12211028
50	1.120309846
51	1.11861534
52	1.116986956
53	1.115425239
54	1.113940303
55	1.112543458
56	1.111203057
57	1.109963689
58	1.108856567
59	1.107699526
60	1.106641995
61	1.10559534
62	1.104545205
63	1.103578811
64	1.102631123
65	1.101508449
66	1.100618618
67	1.099725416
68	1.098900403
69	1.097966201
70	1.09698295
71	1.09594369
72	1.095110412
73	1.094339994
74	1.093729554
75	1.093058973
76	1.092362073
77	1.091532275
78	1.090944021
79	1.090298671
80	1.08973804
81	1.08894076
82	1.088367623
83	1.087772735
84	1.087038097
85	1.086431029
86	1.085639621
87	1.085131302
88	1.084399818
89	1.083653652
90	1.082972413
91	1.082089651
92	1.081442996
93	1.080796776
94	1.080115972
95	1.079414722
96	1.078810481
97	1.078348382
98	1.077708687
99	1.077093462
100	1.076481282
101	1.075748167
102	1.075107602
103	1.074661708
104	1.074122393
105	1.073557522
106	1.072963612
107	1.07234295
108	1.071858883
109	1.071332292
110	1.070812554
111	1.070169379
112	1.069558721
113	1.069326639
114	1.068885639
115	1.068487923
116	1.067974166
117	1.067673568
118	1.067369164
119	1.066952633
120	1.066501084
121	1.06616264
122	1.065634744
123	1.065285859
124	1.06491381
125	1.064505327
126	1.064147959
127	1.06373132
128	1.06340212
129	1.062964274
130	1.062959162
131	1.062494127
132	1.062118815
133	1.061739696
134	1.061319359
135	1.060918163
136	1.060525994
137	1.060112074
138	1.059953075
139	1.059630834
140	1.059221047
141	1.058692825
142	1.05842344
143	1.058025724
144	1.05754231
145	1.057200712
146	1.056844322
147	1.056081082
148	1.0558254
149	1.055428337
150	1.055061725
151	1.05470675
152	1.05470501
153	1.054347642
154	1.054078256
155	1.053632471
156	1.053274233
157	1.052850416
158	1.052552102
159	1.052159824
160	1.051718824
161	1.051578639
162	1.051223229
163	1.050830733
164	1.050512191
165	1.050199848
166	1.049858684
167	1.049618228
168	1.049401045
169	1.049131224
170	1.04882247
171	1.048405613
172	1.048084569
173	1.047748082
174	1.04754743
175	1.047346451
176	1.047208877
177	1.046877936
178	1.04663835
179	1.046637697
180	1.046320134
181	1.046010944
182	1.045600069
183	1.045249879
184	1.044912848
185	1.044685007
186	1.044348738
187	1.044004421
188	1.043767988
189	1.043491425
190	1.043233459
191	1.043133296
192	1.0426203
193	1.042304259
194	1.042018996
195	1.041878702
196	1.041552438
197	1.041410187
198	1.041130579
199	1.040865109
200	1.040670111
201	1.040386371
202	1.040125468
203	1.039854234
204	1.039476094
205	1.039307851
206	1.038956355
207	1.038530907
208	1.038330364
209	1.03818224
210	1.037726884
211	1.037547548
212	1.03731242
213	1.037120685
214	1.036852279
215	1.03644521
216	1.036090018
217	1.035787788
218	1.035552334
219	1.035246625
220	1.035029007
221	1.034694151
222	1.03440084
223	1.034162232
224	1.033722864
225	1.033625854
226	1.033197361
227	1.032925148
228	1.032588987
229	1.032247063
230	1.031809434
231	1.031408891
232	1.031262833
233	1.030925476
234	1.030633579
235	1.030302312
236	1.030029011
237	1.029794536
238	1.029513514
239	1.029236951
240	1.029065445
241	1.028855875
242	1.028505141
243	1.028310796
244	1.028027817
245	1.027564522
246	1.027246088
247	1.026962456
248	1.026770069
249	1.026296443
250	1.0259543
251	1.025708406
252	1.025333529
253	1.025065449
254	1.024814334
255	1.024475563
256	1.024027168
257	1.023779751
258	1.023472193
259	1.023221296
260	1.022860992
261	1.022520263
262	1.022284048
263	1.021894163
264	1.021554413
265	1.021353761
266	1.021104169
267	1.0207294
268	1.020367138
269	1.019986062
270	1.019663496
271	1.019343431
272	1.019026302
273	1.018786824
274	1.018483943
275	1.018152458
276	1.017876657
277	1.017482312
278	1.017317005
279	1.016935276
280	1.016539735
281	1.016272417
282	1.015889491
283	1.015609339
284	1.015449361
285	1.015011841
286	1.014699715
287	1.014382587
288	1.014228155
289	1.013990852
290	1.013799118
291	1.013519401
292	1.013259151
293	1.013133431
294	1.012969646
295	1.012705046
296	1.012537238
297	1.012240664
298	1.01182446
299	1.011482209
