iter	Passed	Remaining
0	105	105786
1	187	93586
2	263	87448
3	337	83929
4	411	81858
5	485	80373
6	558	79196
7	631	78343
8	710	78185
9	777	76980
10	846	76141
11	928	76407
12	1002	76104
13	1075	75738
14	1153	75745
15	1227	75487
16	1305	75474
17	1380	75316
18	1455	75142
19	1530	75013
20	1603	74732
21	1678	74635
22	1754	74520
23	1825	74245
24	1893	73847
25	1964	73575
26	2039	73511
27	2111	73282
28	2188	73266
29	2256	72949
30	2329	72812
31	2398	72546
32	2470	72384
33	2536	72063
34	2614	72082
35	2689	72021
36	2756	71746
37	2821	71436
38	2890	71233
39	2954	70904
40	3016	70548
41	3087	70434
42	3150	70106
43	3211	69770
44	3274	69492
45	3348	69435
46	3413	69207
47	3477	68963
48	3539	68700
49	3599	68391
50	3661	68135
51	3729	67998
52	3796	67835
53	3855	67536
54	3922	67401
55	3986	67196
56	4041	66869
57	4116	66857
58	4178	66643
59	4243	66480
60	4307	66306
61	4372	66158
62	4437	65997
63	4505	65894
64	4573	65790
65	4631	65537
66	4699	65448
67	4762	65267
68	4825	65107
69	4892	65002
70	4952	64805
71	5021	64718
72	5084	64565
73	5150	64455
74	5206	64212
75	5272	64104
76	5330	63898
77	5393	63748
78	5462	63682
79	5537	63680
80	5599	63535
81	5666	63439
82	5725	63255
83	5789	63136
84	5853	63016
85	5928	63004
86	5986	62824
87	6050	62708
88	6112	62565
89	6174	62433
90	6231	62248
91	6293	62118
92	6353	61967
93	6417	61852
94	6484	61769
95	6552	61699
96	6619	61627
97	6686	61544
98	6750	61433
99	6824	61418
100	6886	61299
101	6958	61263
102	7029	61219
103	7099	61161
104	7163	61063
105	7228	60961
106	7290	60844
107	7355	60749
108	7420	60653
109	7479	60518
110	7553	60493
111	7616	60390
112	7686	60333
113	7753	60259
114	7815	60144
115	7893	60151
116	7955	60040
117	8020	59950
118	8089	59885
119	8156	59817
120	8224	59745
121	8291	59673
122	8354	59566
123	8427	59539
124	8502	59519
125	8564	59407
126	8626	59298
127	8691	59211
128	8753	59105
129	8816	59001
130	8878	58896
131	8940	58793
132	9003	58695
133	9066	58591
134	9132	58514
135	9199	58440
136	9266	58371
137	9332	58296
138	9400	58228
139	9464	58139
140	9530	58062
141	9590	57950
142	9658	57881
143	9718	57769
144	9775	57639
145	9846	57592
146	9907	57487
147	9972	57408
148	10032	57298
149	10100	57238
150	10165	57156
151	10233	57094
152	10304	57042
153	10365	56944
154	10434	56886
155	10501	56814
156	10564	56724
157	10632	56660
158	10702	56609
159	10760	56491
160	10826	56418
161	10883	56296
162	10941	56184
163	11010	56128
164	11078	56061
165	11145	55996
166	11214	55938
167	11284	55885
168	11360	55860
169	11418	55748
170	11479	55652
171	11534	55527
172	11598	55444
173	11669	55397
174	11731	55304
175	11799	55241
176	11865	55170
177	11928	55083
178	11993	55007
179	12056	54924
180	12124	54862
181	12189	54785
182	12239	54644
183	12304	54565
184	12371	54500
185	12432	54408
186	12500	54345
187	12564	54269
188	12631	54201
189	12703	54158
190	12766	54071
191	12833	54008
192	12901	53947
193	12964	53861
194	13037	53819
195	13098	53728
196	13168	53674
197	13233	53601
198	13297	53523
199	13360	53440
200	13424	53364
201	13487	53283
202	13560	53239
203	13626	53170
204	13688	53083
205	13759	53033
206	13825	52964
207	13897	52916
208	13959	52831
209	14027	52769
210	14100	52726
211	14172	52678
212	14240	52618
213	14306	52546
214	14370	52469
215	14431	52380
216	14500	52320
217	14565	52250
218	14632	52182
219	14697	52108
220	14761	52032
221	14826	51961
222	14897	51908
223	14956	51813
224	15022	51745
225	15091	51683
226	15158	51618
227	15223	51546
228	15291	51483
229	15357	51414
230	15422	51341
231	15493	51287
232	15561	51224
233	15635	51181
234	15701	51114
235	15765	51038
236	15823	50942
237	15881	50848
238	15953	50798
239	16023	50739
240	16091	50678
241	16163	50627
242	16229	50558
243	16298	50498
244	16371	50451
245	16438	50384
246	16513	50342
247	16577	50267
248	16646	50207
249	16716	50149
250	16780	50074
251	16853	50024
252	16916	49947
253	16983	49881
254	17044	49795
255	17107	49718
256	17176	49658
257	17246	49599
258	17315	49540
259	17384	49478
260	17447	49401
261	17514	49335
262	17587	49285
263	17647	49198
264	17720	49148
265	17792	49097
266	17853	49014
267	17916	48935
268	17985	48874
269	18049	48800
270	18110	48716
271	18184	48670
272	18245	48587
273	18313	48524
274	18378	48452
275	18444	48382
276	18501	48291
277	18572	48234
278	18638	48164
279	18702	48093
280	18775	48041
281	18831	47947
282	18904	47895
283	18965	47813
284	19033	47749
285	19103	47693
286	19171	47628
287	19238	47560
288	19307	47500
289	19371	47427
290	19433	47347
291	19497	47273
292	19560	47200
293	19630	47140
294	19694	47065
295	19746	46964
296	19810	46892
297	19886	46846
298	19956	46786
299	20021	46716
300	20086	46645
301	20153	46579
302	20214	46499
303	20276	46422
304	20340	46350
305	20408	46285
306	20469	46205
307	20526	46117
308	20599	46065
309	20665	45996
310	20724	45914
311	20786	45836
312	20850	45764
313	20914	45692
314	20990	45645
315	21068	45603
316	21129	45525
317	21191	45448
318	21261	45388
319	21328	45322
320	21393	45253
321	21455	45176
322	21528	45124
323	21595	45057
324	21661	44989
325	21717	44901
326	21784	44835
327	21852	44770
328	21916	44698
329	21983	44632
330	22048	44563
331	22123	44514
332	22193	44454
333	22258	44382
334	22321	44310
335	22391	44249
336	22456	44179
337	22525	44117
338	22590	44047
339	22654	43977
340	22726	43920
341	22788	43845
342	22846	43760
343	22916	43700
344	22981	43631
345	23047	43564
346	23117	43503
347	23183	43435
348	23244	43359
349	23313	43295
350	23375	43221
351	23439	43150
352	23512	43095
353	23580	43030
354	23640	42953
355	23717	42905
356	23779	42830
357	23844	42760
358	23914	42699
359	23970	42614
360	24038	42549
361	24094	42465
362	24158	42393
363	24221	42321
364	24294	42265
365	24367	42210
366	24425	42129
367	24493	42065
368	24560	41998
369	24627	41933
370	24697	41871
371	24758	41796
372	24822	41726
373	24887	41656
374	24958	41597
375	25019	41521
376	25078	41442
377	25141	41370
378	25205	41300
379	25276	41240
380	25343	41174
381	25411	41110
382	25474	41038
383	25542	40973
384	25608	40907
385	25676	40842
386	25738	40769
387	25798	40692
388	25867	40630
389	25931	40559
390	25991	40482
391	26065	40428
392	26143	40379
393	26211	40315
394	26276	40246
395	26344	40182
396	26409	40113
397	26484	40058
398	26551	39993
399	26617	39925
400	26694	39875
401	26777	39832
402	26851	39777
403	26919	39713
404	26988	39649
405	27057	39586
406	27127	39525
407	27198	39464
408	27271	39407
409	27339	39342
410	27402	39270
411	27467	39201
412	27538	39141
413	27601	39069
414	27667	39001
415	27724	38920
416	27794	38858
417	27857	38787
418	27922	38718
419	27989	38651
420	28055	38584
421	28122	38518
422	28183	38444
423	28250	38377
424	28315	38309
425	28381	38241
426	28454	38183
427	28523	38120
428	28582	38043
429	28654	37983
430	28717	37912
431	28780	37840
432	28846	37773
433	28915	37709
434	28993	37658
435	29055	37585
436	29120	37516
437	29180	37441
438	29244	37371
439	29307	37299
440	29371	37230
441	29435	37160
442	29500	37092
443	29569	37028
444	29629	36953
445	29689	36879
446	29757	36813
447	29833	36759
448	29905	36699
